amplitude,group,frequency,half-width
25.2520626,control,1.145241993,0.992272018
27.15258763,control,2.237075548,1.272958815
36.5152518,control,2.042081032,1.839809196
23.94976769,control,1.506306777,1.052789426
30.28847528,control,3.982986713,1.714996155
25.14393621,control,1.669282154,1.099530501
32.2074503,control,1.754342855,1.69600267
24.7096718,control,1.171825034,1.033482761
25.84405782,control,1.014255853,1.060084315
34.7700488,control,2.699960279,1.60012236
22.42184684,control,2.139272007,1.043500623
31.17004002,control,2.945954935,1.472590456
25.57419481,control,0.451736111,0.90882915
28.97017613,control,0.747167524,1.189228161
23.66807243,control,0.536620146,0.976284606
33.9283582,control,1.49219957,1.299725322
29.81683224,control,0.769605083,1.147555253
30.97671902,control,1.0728162,0.993903546
23.16855786,200nano,0.850109773,1.081103189
29.36060385,200nano,1.36390314,1.179973899
26.24311521,200nano,1.133384221,0.85212163
24.72770737,200nano,1.175398922,0.979317895
25.97946995,200nano,1.863348058,1.219843003
28.97367442,200nano,1.784419961,1.028247449
26.61504881,200nano,1.385552537,1.226347347
17.99825173,200nano,0.470435571,0.83581709
21.21685835,200nano,0.535258823,0.64422685
24.44755253,200nano,0.391540983,0.952485827
28.50306555,200nano,0.671461771,0.978218777
26.50493567,200nano,0.753706292,1.067618339
24.75903624,200nano,0.30306084,0.985160741
21.42769546,200nano,0.341083266,0.737817948
25.17260621,200nano,0.669545427,0.921551759
25.15025632,200nano,0.144714616,1.109062868
19.6133721,200nano,0.177834122,0.799580792
22.09348658,200nano,0.231633795,0.854063689
18.74528008,50micron,0.132800357,0.398501396
0,50micron,0,0
0,50micron,0,0
0,50micron,0,0
21.89361837,50micron,0.314125873,0.435622303
20.3341138,50micron,0.11724154,0.285482541
0,50micron,0,0
0,50micron,0,0
0,50micron,0,0
21.9443018,50micron,0.116830961,0.393324116
20.82620353,50micron,0.310135854,0.579550003
0,50micron,0,0
